,prompt,filename
26,"Amuse-Bouche Purple corn crisp with avocado mousse and trout ceviche, 4k food photography, top down picture of a plate, michelin starred dish",Chef_Alejandro_Sánchez-Inti_Raymi-Amuse-Bouche-Purple_corn_crisp_with_avocado_mousse_and_trout_ceviche.jpg
27,"Appetizer Peruvian causa with layers of potato, aji amarillo, and crab salad, 4k food photography, top down picture of a plate, michelin starred dish","Chef_Alejandro_Sánchez-Inti_Raymi-Appetizer-Peruvian_causa_with_layers_of_potato,_aji_amarillo,_and_crab_salad.jpg"
28,"Soup Quinoa and Andean cheese chowder with roasted corn and huacatay, 4k food photography, top down picture of a plate, michelin starred dish",Chef_Alejandro_Sánchez-Inti_Raymi-Soup-Quinoa_and_Andean_cheese_chowder_with_roasted_corn_and_huacatay.jpg
29,"Fish Amazonian paiche with aji panca glaze, yucca purée, and sautéed kale, 4k food photography, top down picture of a plate, michelin starred dish","Chef_Alejandro_Sánchez-Inti_Raymi-Fish-Amazonian_paiche_with_aji_panca_glaze,_yucca_purée,_and_sautéed_kale.jpg"
30,"Meat Alpaca tenderloin with Peruvian corn succotash and rocoto pepper sauce, 4k food photography, top down picture of a plate, michelin starred dish",Chef_Alejandro_Sánchez-Inti_Raymi-Meat-Alpaca_tenderloin_with_Peruvian_corn_succotash_and_rocoto_pepper_sauce.jpg
31,"Dessert Lucuma mousse with maracuya coulis and chocolate crumble, 4k food photography, top down picture of a plate, michelin starred dish",Chef_Alejandro_Sánchez-Inti_Raymi-Dessert-Lucuma_mousse_with_maracuya_coulis_and_chocolate_crumble.jpg
32,"Amuse-Bouche Biltong-spiced beef carpaccio with microgreens and lemon vinaigrette, 4k food photography, top down picture of a plate, michelin starred dish",Chef_Amani_Sudi-Majani-Amuse-Bouche-Biltong-spiced_beef_carpaccio_with_microgreens_and_lemon_vinaigrette.jpg
33,"Appetizer Grilled tiger prawns with mango and avocado salad, and a chili-lime dressing, 4k food photography, top down picture of a plate, michelin starred dish","Chef_Amani_Sudi-Majani-Appetizer-Grilled_tiger_prawns_with_mango_and_avocado_salad,_and_a_chili-lime_dressing.jpg"
34,"Soup Roasted butternut squash soup with coconut cream, pumpkin seeds, and coriander, 4k food photography, top down picture of a plate, michelin starred dish","Chef_Amani_Sudi-Majani-Soup-Roasted_butternut_squash_soup_with_coconut_cream,_pumpkin_seeds,_and_coriander.jpg"
35,"Fish Pan-seared Nile perch with okra, tomatoes, and an aromatic tamarind sauce, 4k food photography, top down picture of a plate, michelin starred dish","Chef_Amani_Sudi-Majani-Fish-Pan-seared_Nile_perch_with_okra,_tomatoes,_and_an_aromatic_tamarind_sauce.jpg"
36,"Meat Safari-spiced ostrich fillet with sweet potato mash, sautéed spinach, and red wine reduction, 4k food photography, top down picture of a plate, michelin starred dish","Chef_Amani_Sudi-Majani-Meat-Safari-spiced_ostrich_fillet_with_sweet_potato_mash,_sautéed_spinach,_and_red_wine_reduction.jpg"
37,"Dessert Amarula-infused chocolate fondant with raspberry coulis and vanilla ice cream, 4k food photography, top down picture of a plate, michelin starred dish",Chef_Amani_Sudi-Majani-Dessert-Amarula-infused_chocolate_fondant_with_raspberry_coulis_and_vanilla_ice_cream.jpg
38,"Amuse-Bouche Crispy polenta with black truffle and Parmigiano-Reggiano foam, 4k food photography, top down picture of a plate, michelin starred dish",Chef_Giuseppe_Di_Martino-La_Serenissima-Amuse-Bouche-Crispy_polenta_with_black_truffle_and_Parmigiano-Reggiano_foam.jpg
39,"Appetizer Seared scallops with artichoke purée, crispy pancetta, and lemon-infused olive oil, 4k food photography, top down picture of a plate, michelin starred dish","Chef_Giuseppe_Di_Martino-La_Serenissima-Appetizer-Seared_scallops_with_artichoke_purée,_crispy_pancetta,_and_lemon-infused_olive_oil.jpg"
40,"Pasta Homemade squid ink tagliolini with lobster, cherry tomatoes, and basil, 4k food photography, top down picture of a plate, michelin starred dish","Chef_Giuseppe_Di_Martino-La_Serenissima-Pasta-Homemade_squid_ink_tagliolini_with_lobster,_cherry_tomatoes,_and_basil.jpg"
41,"Fish Pan-seared turbot with fennel confit, olives, and a saffron-orange emulsion, 4k food photography, top down picture of a plate, michelin starred dish","Chef_Giuseppe_Di_Martino-La_Serenissima-Fish-Pan-seared_turbot_with_fennel_confit,_olives,_and_a_saffron-orange_emulsion.jpg"
42,"Meat Veal tenderloin with porcini mushrooms, truffled potato purée, and Barolo reduction, 4k food photography, top down picture of a plate, michelin starred dish","Chef_Giuseppe_Di_Martino-La_Serenissima-Meat-Veal_tenderloin_with_porcini_mushrooms,_truffled_potato_purée,_and_Barolo_reduction.jpg"
43,"Dessert Tiramisù semifreddo with espresso sauce and cocoa nibs, 4k food photography, top down picture of a plate, michelin starred dish",Chef_Giuseppe_Di_Martino-La_Serenissima-Dessert-Tiramisù_semifreddo_with_espresso_sauce_and_cocoa_nibs.jpg
44,"Amuse-Bouche Mini raspberry macarons with rose petal cream, 4k food photography, top down picture of a plate, michelin starred dish",Chef_Juliette_Dubois-Le_Paradis_des_Douceurs-Amuse-Bouche-Mini_raspberry_macarons_with_rose_petal_cream.jpg
45,"Appetizer Exotic fruit carpaccio with lime zest and mint-infused syrup, 4k food photography, top down picture of a plate, michelin starred dish",Chef_Juliette_Dubois-Le_Paradis_des_Douceurs-Appetizer-Exotic_fruit_carpaccio_with_lime_zest_and_mint-infused_syrup.jpg
46,"Soufflé Grand Marnier soufflé with candied orange peel, 4k food photography, top down picture of a plate, michelin starred dish",Chef_Juliette_Dubois-Le_Paradis_des_Douceurs-Soufflé-Grand_Marnier_soufflé_with_candied_orange_peel.jpg
47,"Tarte Tarte Tatin with caramelized apples, puff pastry, and vanilla crème fraîche, 4k food photography, top down picture of a plate, michelin starred dish","Chef_Juliette_Dubois-Le_Paradis_des_Douceurs-Tarte-Tarte_Tatin_with_caramelized_apples,_puff_pastry,_and_vanilla_crème_fraîche.jpg"
48,"Mousse Dark chocolate mousse with hazelnut praline and gold leaf, 4k food photography, top down picture of a plate, michelin starred dish",Chef_Juliette_Dubois-Le_Paradis_des_Douceurs-Mousse-Dark_chocolate_mousse_with_hazelnut_praline_and_gold_leaf.jpg
49,"Petit Fours Assorted French petit fours: éclairs, madeleines, and financiers, 4k food photography, top down picture of a plate, michelin starred dish","Chef_Juliette_Dubois-Le_Paradis_des_Douceurs-Petit_Fours-Assorted_French_petit_fours:_éclairs,_madeleines,_and_financiers.jpg"
50,"Amuse-Bouche Beetroot-cured salmon with horseradish cream and microgreens, 4k food photography, top down picture of a plate, michelin starred dish",Chef_Élodie_Moreau-L'Étoile_des_Neiges-Amuse-Bouche-Beetroot-cured_salmon_with_horseradish_cream_and_microgreens.jpg
51,"Appetizer Seared foie gras with spiced pear chutney and toasted brioche, 4k food photography, top down picture of a plate, michelin starred dish",Chef_Élodie_Moreau-L'Étoile_des_Neiges-Appetizer-Seared_foie_gras_with_spiced_pear_chutney_and_toasted_brioche.jpg
52,"Soup Creamy wild mushroom soup with crispy bacon and chives, 4k food photography, top down picture of a plate, michelin starred dish",Chef_Élodie_Moreau-L'Étoile_des_Neiges-Soup-Creamy_wild_mushroom_soup_with_crispy_bacon_and_chives.jpg
53,"Pasta Savoyard-style gnocchi with Reblochon cheese, lardons, and caramelized onions, 4k food photography, top down picture of a plate, michelin starred dish","Chef_Élodie_Moreau-L'Étoile_des_Neiges-Pasta-Savoyard-style_gnocchi_with_Reblochon_cheese,_lardons,_and_caramelized_onions.jpg"
54,"Meat Roasted venison loin with parsnip purée, Brussels sprouts, and juniper berry sauce, 4k food photography, top down picture of a plate, michelin starred dish","Chef_Élodie_Moreau-L'Étoile_des_Neiges-Meat-Roasted_venison_loin_with_parsnip_purée,_Brussels_sprouts,_and_juniper_berry_sauce.jpg"
55,"Dessert Warm chocolate fondant with raspberry coulis and pistachio ice cream, 4k food photography, top down picture of a plate, michelin starred dish",Chef_Élodie_Moreau-L'Étoile_des_Neiges-Dessert-Warm_chocolate_fondant_with_raspberry_coulis_and_pistachio_ice_cream.jpg
56,"Amuse-Bouche Crispy reindeer moss with mushroom powder and fermented lingonberries, 4k food photography, top down picture of a plate, michelin starred dish",Chef_Akseli_Korhonen-Nordic_Essence-Amuse-Bouche-Crispy_reindeer_moss_with_mushroom_powder_and_fermented_lingonberries.jpg
57,"Appetizer Smoked eel with pickled cucumber, horseradish cream, and dill oil, 4k food photography, top down picture of a plate, michelin starred dish","Chef_Akseli_Korhonen-Nordic_Essence-Appetizer-Smoked_eel_with_pickled_cucumber,_horseradish_cream,_and_dill_oil.jpg"
58,"Fish Roasted Arctic char with beetroot purée, preserved lemon, and sea buckthorn, 4k food photography, top down picture of a plate, michelin starred dish","Chef_Akseli_Korhonen-Nordic_Essence-Fish-Roasted_Arctic_char_with_beetroot_purée,_preserved_lemon,_and_sea_buckthorn.jpg"
59,"Bird Wild duck breast with caramelized celeriac, blackcurrants, and a juniper berry jus, 4k food photography, top down picture of a plate, michelin starred dish","Chef_Akseli_Korhonen-Nordic_Essence-Bird-Wild_duck_breast_with_caramelized_celeriac,_blackcurrants,_and_a_juniper_berry_jus.jpg"
60,"Meat Elk tartare with smoked egg yolk, caper berries, and foraged herbs, 4k food photography, top down picture of a plate, michelin starred dish","Chef_Akseli_Korhonen-Nordic_Essence-Meat-Elk_tartare_with_smoked_egg_yolk,_caper_berries,_and_foraged_herbs.jpg"
61,"Cheese Selection of Nordic cheeses with Finnish cloudberry jam and crisp rye bread, 4k food photography, top down picture of a plate, michelin starred dish",Chef_Akseli_Korhonen-Nordic_Essence-Cheese-Selection_of_Nordic_cheeses_with_Finnish_cloudberry_jam_and_crisp_rye_bread.jpg
62,"Dessert Birch sap sorbet with wild blueberries and spruce needle meringue, 4k food photography, top down picture of a plate, michelin starred dish",Chef_Akseli_Korhonen-Nordic_Essence-Dessert-Birch_sap_sorbet_with_wild_blueberries_and_spruce_needle_meringue.jpg
63,"Amuse-Bouche Miniature potato pancake with smoked salmon and horseradish cream, 4k food photography, top down picture of a plate, michelin starred dish",Chef_Lukas_Müller-Deutscher_Geschmack-Amuse-Bouche-Miniature_potato_pancake_with_smoked_salmon_and_horseradish_cream.jpg
64,"Appetizer Pan-seared duck liver with apple compote, brioche, and aged balsamic, 4k food photography, top down picture of a plate, michelin starred dish","Chef_Lukas_Müller-Deutscher_Geschmack-Appetizer-Pan-seared_duck_liver_with_apple_compote,_brioche,_and_aged_balsamic.jpg"
65,"Soup Creamy white asparagus soup with chervil and toasted almonds, 4k food photography, top down picture of a plate, michelin starred dish",Chef_Lukas_Müller-Deutscher_Geschmack-Soup-Creamy_white_asparagus_soup_with_chervil_and_toasted_almonds.jpg
66,"Fish Braised monkfish with cabbage, bacon, and Riesling cream sauce, 4k food photography, top down picture of a plate, michelin starred dish","Chef_Lukas_Müller-Deutscher_Geschmack-Fish-Braised_monkfish_with_cabbage,_bacon,_and_Riesling_cream_sauce.jpg"
67,"Meat Venison medallions with red cabbage, spätzle, and lingonberry sauce, 4k food photography, top down picture of a plate, michelin starred dish","Chef_Lukas_Müller-Deutscher_Geschmack-Meat-Venison_medallions_with_red_cabbage,_spätzle,_and_lingonberry_sauce.jpg"
68,"Dessert Black Forest cake with cherry compote and kirsch-infused whipped cream, 4k food photography, top down picture of a plate, michelin starred dish",Chef_Lukas_Müller-Deutscher_Geschmack-Dessert-Black_Forest_cake_with_cherry_compote_and_kirsch-infused_whipped_cream.jpg
69,"Amuse-Bouche Martian soil-cultivated microgreen salad with synthesized honey-mustard vinaigrette, 4k food photography, top down picture of a plate, michelin starred dish",Chef_Elon_Ray-The_Red_Planet_Bistro-Amuse-Bouche-Martian_soil-cultivated_microgreen_salad_with_synthesized_honey-mustard_vinaigrette.jpg
70,"Appetizer Lab-grown shrimp cocktail with spicy tomato gel and hydroponic dill, 4k food photography, top down picture of a plate, michelin starred dish",Chef_Elon_Ray-The_Red_Planet_Bistro-Appetizer-Lab-grown_shrimp_cocktail_with_spicy_tomato_gel_and_hydroponic_dill.jpg
71,"Soup Cream of Martian potato soup with cultured sour cream and bio-printed chives, 4k food photography, top down picture of a plate, michelin starred dish",Chef_Elon_Ray-The_Red_Planet_Bistro-Soup-Cream_of_Martian_potato_soup_with_cultured_sour_cream_and_bio-printed_chives.jpg
72,"Main Course Cellular agriculture steak with Mars-grown mushroom sauce, hydroponic vegetables, and red dust-infused demi-glace, 4k food photography, top down picture of a plate, michelin starred dish","Chef_Elon_Ray-The_Red_Planet_Bistro-Main_Course-Cellular_agriculture_steak_with_Mars-grown_mushroom_sauce,_hydroponic_vegetables,_and_red_dust-infused_demi-glace.jpg"
73,"Dessert Galactic chocolate mousse with edible holographic fruit garnish, 4k food photography, top down picture of a plate, michelin starred dish",Chef_Elon_Ray-The_Red_Planet_Bistro-Dessert-Galactic_chocolate_mousse_with_edible_holographic_fruit_garnish.jpg
74,"Amuse-Bouche Heirloom tomato tartare with basil microgreens and pine nut 'Parmesan', 4k food photography, top down picture of a plate, michelin starred dish",Chef_Isabella_Green-Verdant_Elegance-Amuse-Bouche-Heirloom_tomato_tartare_with_basil_microgreens_and_pine_nut_'Parmesan'.jpg
75,"Appetizer Wild mushroom carpaccio with black truffle vinaigrette and vegan 'foie gras', 4k food photography, top down picture of a plate, michelin starred dish",Chef_Isabella_Green-Verdant_Elegance-Appetizer-Wild_mushroom_carpaccio_with_black_truffle_vinaigrette_and_vegan_'foie_gras'.jpg
76,"Soup Chilled sweet corn velouté with avocado mousse and chipotle-infused oil, 4k food photography, top down picture of a plate, michelin starred dish",Chef_Isabella_Green-Verdant_Elegance-Soup-Chilled_sweet_corn_velouté_with_avocado_mousse_and_chipotle-infused_oil.jpg
77,"Pasta House-made artichoke and cashew ricotta tortellini with sun-dried tomato sauce and crispy sage, 4k food photography, top down picture of a plate, michelin starred dish",Chef_Isabella_Green-Verdant_Elegance-Pasta-House-made_artichoke_and_cashew_ricotta_tortellini_with_sun-dried_tomato_sauce_and_crispy_sage.jpg
78,"Main Course Pan-seared black garlic and porcini-crusted king oyster mushroom 'scallops' with saffron-infused cauliflower purée and microgreens, 4k food photography, top down picture of a plate, michelin starred dish",Chef_Isabella_Green-Verdant_Elegance-Main_Course-Pan-seared_black_garlic_and_porcini-crusted_king_oyster_mushroom_'scallops'_with_saffron-infused_cauliflower_purée_and_microgreens.jpg
79,"Dessert Triple-layered dark chocolate and hazelnut mousse cake with edible gold leaf and raspberry coulis, 4k food photography, top down picture of a plate, michelin starred dish",Chef_Isabella_Green-Verdant_Elegance-Dessert-Triple-layered_dark_chocolate_and_hazelnut_mousse_cake_with_edible_gold_leaf_and_raspberry_coulis.jpg
80,"Petit Fours Assorted vegan petit fours: passion fruit truffles, matcha macarons, and raspberry-filled chocolates, 4k food photography, top down picture of a plate, michelin starred dish","Chef_Isabella_Green-Verdant_Elegance-Petit_Fours-Assorted_vegan_petit_fours:_passion_fruit_truffles,_matcha_macarons,_and_raspberry-filled_chocolates.jpg"
81,"Appetizer Grilled octopus with cherry tomatoes, kalamata olives, and lemon-garlic dressing, 4k food photography, top down picture of a plate, michelin starred dish","Chef_Ahmed_Naseer-Fisherman's_Grill-Appetizer-Grilled_octopus_with_cherry_tomatoes,_kalamata_olives,_and_lemon-garlic_dressing.jpg"
82,"Fish Charcoal-grilled red snapper with tamarind glaze, mango salsa, and coconut rice, 4k food photography, top down picture of a plate, michelin starred dish","Chef_Ahmed_Naseer-Fisherman's_Grill-Fish-Charcoal-grilled_red_snapper_with_tamarind_glaze,_mango_salsa,_and_coconut_rice.jpg"
83,"Seafood Mixed seafood grill with jumbo prawns, calamari, and scallops, served with a spicy tomato sauce, 4k food photography, top down picture of a plate, michelin starred dish","Chef_Ahmed_Naseer-Fisherman's_Grill-Seafood-Mixed_seafood_grill_with_jumbo_prawns,_calamari,_and_scallops,_served_with_a_spicy_tomato_sauce.jpg"
84,"Meat Grilled lamb chops with rosemary marinade, ratatouille, and mint yogurt, 4k food photography, top down picture of a plate, michelin starred dish","Chef_Ahmed_Naseer-Fisherman's_Grill-Meat-Grilled_lamb_chops_with_rosemary_marinade,_ratatouille,_and_mint_yogurt.jpg"
85,"Dessert Coconut panna cotta with passion fruit coulis and toasted coconut flakes, 4k food photography, top down picture of a plate, michelin starred dish",Chef_Ahmed_Naseer-Fisherman's_Grill-Dessert-Coconut_panna_cotta_with_passion_fruit_coulis_and_toasted_coconut_flakes.jpg
86,"Dessert Grilled pineapple with rum caramel sauce and vanilla ice cream, 4k food photography, top down picture of a plate, michelin starred dish",Chef_Ahmed_Naseer-Fisherman's_Grill-Dessert-Grilled_pineapple_with_rum_caramel_sauce_and_vanilla_ice_cream.jpg
87,"Dessert Warm chocolate lava cake with coconut ice cream and macadamia nuts, 4k food photography, top down picture of a plate, michelin starred dish",Chef_Ahmed_Naseer-Fisherman's_Grill-Dessert-Warm_chocolate_lava_cake_with_coconut_ice_cream_and_macadamia_nuts.jpg
88,"Amuse-Bouche Blini with smoked salmon and Ossetra caviar, 4k food photography, top down picture of a plate, michelin starred dish",Chef_Dimitri_Petrov-Imperial_Caviar-Amuse-Bouche-Blini_with_smoked_salmon_and_Ossetra_caviar.jpg
89,"Appetizer Beetroot and vodka-cured sturgeon with horseradish cream, 4k food photography, top down picture of a plate, michelin starred dish",Chef_Dimitri_Petrov-Imperial_Caviar-Appetizer-Beetroot_and_vodka-cured_sturgeon_with_horseradish_cream.jpg
90,"Soup Traditional Russian borscht with sour cream and pumpernickel bread, 4k food photography, top down picture of a plate, michelin starred dish",Chef_Dimitri_Petrov-Imperial_Caviar-Soup-Traditional_Russian_borscht_with_sour_cream_and_pumpernickel_bread.jpg
91,"Fish Pan-fried halibut with celeriac puree, wilted spinach, and dill beurre blanc, 4k food photography, top down picture of a plate, michelin starred dish","Chef_Dimitri_Petrov-Imperial_Caviar-Fish-Pan-fried_halibut_with_celeriac_puree,_wilted_spinach,_and_dill_beurre_blanc.jpg"
92,"Meat Venison medallions with wild mushrooms, truffled potato gratin, and juniper berry sauce, 4k food photography, top down picture of a plate, michelin starred dish","Chef_Dimitri_Petrov-Imperial_Caviar-Meat-Venison_medallions_with_wild_mushrooms,_truffled_potato_gratin,_and_juniper_berry_sauce.jpg"
93,"Cheese Selection of Russian artisanal cheeses with lingonberry jam and rye crackers, 4k food photography, top down picture of a plate, michelin starred dish",Chef_Dimitri_Petrov-Imperial_Caviar-Cheese-Selection_of_Russian_artisanal_cheeses_with_lingonberry_jam_and_rye_crackers.jpg
94,"Dessert Honey cake with sour cream frosting and raspberry coulis, 4k food photography, top down picture of a plate, michelin starred dish",Chef_Dimitri_Petrov-Imperial_Caviar-Dessert-Honey_cake_with_sour_cream_frosting_and_raspberry_coulis.jpg
95,"Amuse-Bouche Dates stuffed with goat cheese and crushed pistachios, 4k food photography, top down picture of a plate, michelin starred dish",Chef_Farid_Al-Rashid-Alcazar-Amuse-Bouche-Dates_stuffed_with_goat_cheese_and_crushed_pistachios.jpg
96,"Appetizer Pan-seared scallops with saffron and orange-infused cauliflower purée, 4k food photography, top down picture of a plate, michelin starred dish",Chef_Farid_Al-Rashid-Alcazar-Appetizer-Pan-seared_scallops_with_saffron_and_orange-infused_cauliflower_purée.jpg
97,"Soup Creamy pumpkin and coconut soup with sumac-spiced croutons, 4k food photography, top down picture of a plate, michelin starred dish",Chef_Farid_Al-Rashid-Alcazar-Soup-Creamy_pumpkin_and_coconut_soup_with_sumac-spiced_croutons.jpg
98,"Fish Seared sea bass with chickpea and spinach stew, pomegranate reduction, 4k food photography, top down picture of a plate, michelin starred dish","Chef_Farid_Al-Rashid-Alcazar-Fish-Seared_sea_bass_with_chickpea_and_spinach_stew,_pomegranate_reduction.jpg"
99,"Meat Slow-cooked lamb shank with apricot and almond couscous, harissa jus, 4k food photography, top down picture of a plate, michelin starred dish","Chef_Farid_Al-Rashid-Alcazar-Meat-Slow-cooked_lamb_shank_with_apricot_and_almond_couscous,_harissa_jus.jpg"
100,"Cheese Selection of Middle Eastern cheeses with fig jam and za'atar flatbread, 4k food photography, top down picture of a plate, michelin starred dish",Chef_Farid_Al-Rashid-Alcazar-Cheese-Selection_of_Middle_Eastern_cheeses_with_fig_jam_and_za'atar_flatbread.jpg
101,"Dessert Rosewater and cardamom panna cotta with honeyed pistachio crumble, 4k food photography, top down picture of a plate, michelin starred dish",Chef_Farid_Al-Rashid-Alcazar-Dessert-Rosewater_and_cardamom_panna_cotta_with_honeyed_pistachio_crumble.jpg
102,"Amuse-Bouche Crispy Icelandic seaweed with foraged herbs and pickled berries, 4k food photography, top down picture of a plate, michelin starred dish",Chef_Sigurjón_Ólafsson-Nordic_Haven-Amuse-Bouche-Crispy_Icelandic_seaweed_with_foraged_herbs_and_pickled_berries.jpg
